cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag
1,302,0.4615,97,10,1,0.8,2,0.2,5
1,302,0.6667,94,10,1,0.8,1,0.2,2
1,302,0.8235,98,10,1,0.8,3,0.2,5
1,302,1,76,10,1,0.8,3,0.2,4
1,303,-0.9091,1,1,1,0.6,1,0.4,4
1,303,-0.7273,9,1,1,0.7,1,0.3,5
1,303,-0.5263,10,1,1,0.7,1,0.3,4
1,303,-0.2857,6,1,1,0.6,2,0.4,4
1,303,0,25,1,1,0.6,2,0.4,3
1,303,0.3333,5,1,1,0.7,3,0.3,5
1,303,0.4615,4,1,1,0.8,2,0.2,5
1,303,0.6667,15,1,1,0.8,1,0.2,2
1,303,0.8235,2,1,1,0.8,3,0.2,5
1,303,1,3,1,1,0.8,3,0.2,4
1,303,-0.9091,12,2,0,0.6,1,0.4,4
1,303,-0.7273,14,2,1,0.7,1,0.3,5
1,303,-0.5263,18,2,1,0.7,1,0.3,4
1,303,-0.2857,17,2,0,0.6,2,0.4,4
1,303,0,30,2,1,0.6,2,0.4,3
1,303,0.3333,7,2,0,0.7,3,0.3,5
1,303,0.4615,24,2,1,0.8,2,0.2,5
1,303,0.6667,16,2,1,0.8,1,0.2,2
1,303,0.8235,11,2,1,0.8,3,0.2,5
1,303,1,13,2,1,0.8,3,0.2,4
1,303,-0.9091,21,3,1,0.6,1,0.4,4
1,303,-0.7273,27,3,1,0.7,1,0.3,5
1,303,-0.5263,19,3,1,0.7,1,0.3,4
1,303,-0.2857,20,3,0,0.6,2,0.4,4
1,303,0,32,3,1,0.6,2,0.4,3
1,303,0.3333,8,3,1,0.7,3,0.3,5
1,303,0.4615,29,3,1,0.8,2,0.2,5
1,303,0.6667,26,3,1,0.8,1,0.2,2
1,303,0.8235,35,3,1,0.8,3,0.2,5
1,303,1,22,3,1,0.8,3,0.2,4
1,303,-0.9091,38,4,1,0.6,1,0.4,4
1,303,-0.7273,52,4,0,0.7,1,0.3,5
1,303,-0.5263,33,4,1,0.7,1,0.3,4
1,303,-0.2857,23,4,0,0.6,2,0.4,4
1,303,0,45,4,1,0.6,2,0.4,3
1,303,0.3333,40,4,1,0.7,3,0.3,5
1,303,0.4615,34,4,1,0.8,2,0.2,5
1,303,0.6667,28,4,1,0.8,1,0.2,2
1,303,0.8235,42,4,1,0.8,3,0.2,5
1,303,1,47,4,1,0.8,3,0.2,4
1,303,-0.9091,51,5,1,0.6,1,0.4,4
1,303,-0.7273,57,5,0,0.7,1,0.3,5
1,303,-0.5263,46,5,1,0.7,1,0.3,4
1,303,-0.2857,31,5,1,0.6,2,0.4,4
1,303,0,48,5,0,0.6,2,0.4,3
1,303,0.3333,44,5,1,0.7,3,0.3,5
1,303,0.4615,41,5,1,0.8,2,0.2,5
1,303,0.6667,36,5,1,0.8,1,0.2,2
1,303,0.8235,50,5,1,0.8,3,0.2,5
1,303,1,61,5,1,0.8,3,0.2,4
1,303,-0.9091,55,6,0,0.6,1,0.4,4
1,303,-0.7273,71,6,1,0.7,1,0.3,5
1,303,-0.5263,53,6,1,0.7,1,0.3,4
1,303,-0.2857,37,6,0,0.6,2,0.4,4
1,303,0,68,6,0,0.6,2,0.4,3
1,303,0.3333,58,6,1,0.7,3,0.3,5
1,303,0.4615,54,6,0,0.8,2,0.2,5
1,303,0.6667,39,6,1,0.8,1,0.2,2
1,303,0.8235,66,6,1,0.8,3,0.2,5
1,303,1,63,6,1,0.8,3,0.2,4
1,303,-0.9091,59,7,0,0.6,1,0.4,4
1,303,-0.7273,86,7,0,0.7,1,0.3,5
1,303,-0.5263,56,7,1,0.7,1,0.3,4
1,303,-0.2857,60,7,0,0.6,2,0.4,4
1,303,0,70,7,1,0.6,2,0.4,3
1,303,0.3333,72,7,0,0.7,3,0.3,5
1,303,0.4615,64,7,0,0.8,2,0.2,5
1,303,0.6667,43,7,1,0.8,1,0.2,2
1,303,0.8235,74,7,1,0.8,3,0.2,5
1,303,1,73,7,1,0.8,3,0.2,4
1,303,-0.9091,65,8,1,0.6,1,0.4,4
1,303,-0.7273,88,8,1,0.7,1,0.3,5
1,303,-0.5263,62,8,1,0.7,1,0.3,4
1,303,-0.2857,67,8,1,0.6,2,0.4,4
1,303,0,75,8,1,0.6,2,0.4,3
1,303,0.3333,94,8,1,0.7,3,0.3,5
1,303,0.4615,78,8,0,0.8,2,0.2,5
1,303,0.6667,49,8,1,0.8,1,0.2,2
1,303,0.8235,79,8,0,0.8,3,0.2,5
1,303,1,81,8,1,0.8,3,0.2,4
1,303,-0.9091,69,9,1,0.6,1,0.4,4
1,303,-0.7273,92,9,1,0.7,1,0.3,5
1,303,-0.5263,80,9,1,0.7,1,0.3,4
1,303,-0.2857,76,9,1,0.6,2,0.4,4
1,303,0,98,9,1,0.6,2,0.4,3
1,303,0.3333,95,9,1,0.7,3,0.3,5
1,303,0.4615,85,9,0,0.8,2,0.2,5
1,303,0.6667,77,9,1,0.8,1,0.2,2
1,303,0.8235,83,9,1,0.8,3,0.2,5
1,303,1,89,9,1,0.8,3,0.2,4
1,303,-0.9091,87,10,1,0.6,1,0.4,4
1,303,-0.7273,93,10,1,0.7,1,0.3,5
1,303,-0.5263,90,10,0,0.7,1,0.3,4
1,303,-0.2857,96,10,0,0.6,2,0.4,4
1,303,0,99,10,0,0.6,2,0.4,3
1,303,0.3333,97,10,1,0.7,3,0.3,5
1,303,0.4615,100,10,1,0.8,2,0.2,5
1,303,0.6667,82,10,1,0.8,1,0.2,2
1,303,0.8235,84,10,1,0.8,3,0.2,5
1,303,1,91,10,0,0.8,3,0.2,4
1,304,-0.9091,9,1,0,0.6,1,0.4,4
1,304,-0.7273,5,1,0,0.7,1,0.3,5
1,304,-0.5263,3,1,1,0.7,1,0.3,4
1,304,-0.2857,11,1,1,0.6,2,0.4,4
1,304,0,1,1,1,0.6,2,0.4,3
1,304,0.3333,7,1,0,0.7,3,0.3,5
1,304,0.4615,16,1,1,0.8,2,0.2,5
1,304,0.6667,2,1,1,0.8,1,0.2,2
1,304,0.8235,6,1,1,0.8,3,0.2,5
1,304,1,13,1,1,0.8,3,0.2,4
1,304,-0.9091,29,2,0,0.6,1,0.4,4
1,304,-0.7273,12,2,0,0.7,1,0.3,5
1,304,-0.5263,18,2,0,0.7,1,0.3,4
1,304,-0.2857,19,2,1,0.6,2,0.4,4
1,304,0,14,2,1,0.6,2,0.4,3
1,304,0.3333,20,2,0,0.7,3,0.3,5
1,304,0.4615,17,2,1,0.8,2,0.2,5
1,304,0.6667,4,2,1,0.8,1,0.2,2
1,304,0.8235,10,2,0,0.8,3,0.2,5
1,304,1,22,2,1,0.8,3,0.2,4
1,304,-0.9091,32,3,0,0.6,1,0.4,4
1,304,-0.7273,31,3,0,0.7,1,0.3,5
1,304,-0.5263,23,3,1,0.7,1,0.3,4
1,304,-0.2857,21,3,0,0.6,2,0.4,4
1,304,0,30,3,1,0.6,2,0.4,3
1,304,0.3333,39,3,1,0.7,3,0.3,5
1,304,0.4615,37,3,1,0.8,2,0.2,5
1,304,0.6667,8,3,1,0.8,1,0.2,2
1,304,0.8235,25,3,1,0.8,3,0.2,5
1,304,1,33,3,1,0.8,3,0.2,4
1,304,-0.9091,38,4,0,0.6,1,0.4,4
1,304,-0.7273,36,4,1,0.7,1,0.3,5
1,304,-0.5263,46,4,0,0.7,1,0.3,4
1,304,-0.2857,24,4,0,0.6,2,0.4,4
1,304,0,34,4,1,0.6,2,0.4,3
1,304,0.3333,40,4,1,0.7,3,0.3,5
1,304,0.4615,42,4,1,0.8,2,0.2,5
1,304,0.6667,15,4,1,0.8,1,0.2,2
1,304,0.8235,26,4,1,0.8,3,0.2,5
1,304,1,44,4,1,0.8,3,0.2,4
1,304,-0.9091,45,5,1,0.6,1,0.4,4
1,304,-0.7273,41,5,0,0.7,1,0.3,5
1,304,-0.5263,51,5,1,0.7,1,0.3,4
1,304,-0.2857,27,5,0,0.6,2,0.4,4
1,304,0,58,5,1,0.6,2,0.4,3
1,304,0.3333,43,5,0,0.7,3,0.3,5
1,304,0.4615,64,5,1,0.8,2,0.2,5
1,304,0.6667,28,5,1,0.8,1,0.2,2
1,304,0.8235,71,5,1,0.8,3,0.2,5
1,304,1,49,5,1,0.8,3,0.2,4
1,304,-0.9091,48,6,0,0.6,1,0.4,4
1,304,-0.7273,55,6,0,0.7,1,0.3,5
1,304,-0.5263,53,6,1,0.7,1,0.3,4
1,304,-0.2857,35,6,0,0.6,2,0.4,4
1,304,0,59,6,1,0.6,2,0.4,3
1,304,0.3333,52,6,1,0.7,3,0.3,5
1,304,0.4615,65,6,0,0.8,2,0.2,5
1,304,0.6667,50,6,1,0.8,1,0.2,2
1,304,0.8235,79,6,1,0.8,3,0.2,5
1,304,1,69,6,1,0.8,3,0.2,4
1,304,-0.9091,54,7,1,0.6,1,0.4,4
1,304,-0.7273,72,7,0,0.7,1,0.3,5
1,304,-0.5263,57,7,0,0.7,1,0.3,4
1,304,-0.2857,47,7,0,0.6,2,0.4,4
1,304,0,61,7,1,0.6,2,0.4,3
1,304,0.3333,56,7,1,0.7,3,0.3,5
1,304,0.4615,78,7,1,0.8,2,0.2,5
1,304,0.6667,60,7,1,0.8,1,0.2,2
1,304,0.8235,81,7,1,0.8,3,0.2,5
1,304,1,70,7,1,0.8,3,0.2,4
1,304,-0.9091,68,8,0,0.6,1,0.4,4
1,304,-0.7273,73,8,0,0.7,1,0.3,5
1,304,-0.5263,90,8,0,0.7,1,0.3,4
1,304,-0.2857,67,8,1,0.6,2,0.4,4
1,304,0,62,8,1,0.6,2,0.4,3
1,304,0.3333,74,8,1,0.7,3,0.3,5
1,304,0.4615,83,8,1,0.8,2,0.2,5
